"""Disconn/Invalid""","{",256,256,256
"""grey-1""","{",237,237,237
"""grey-2""","{",219,219,219
"""GLOBAL canvas""","{",201,201,201
"""grey-4""","{",188,188,188
"""Wid-alt/Anno-sec""","{",175,175,175
"""GLOBAL title""","{",159,159,159
"""grey-7""","{",146,146,146
"""grey-8""","{",134,134,134
"""GLOBAL help""","{",120,120,120
"""Wid-bg/Anno-pri""","{",105,105,105
"""grey-11""","{",90,90,90
"""grey-12""","{",70,70,70
"""grey-13""","{",45,45,45
"""black-14""","{",0,0,0
"""Monitor: NORMAL""","{",0,256,0
"""green-16""","{",0,225,0
"""Monitor: alt""","{",0,193,0
"""green-18""","{",0,161,0
"""green-19""","{",0,129,0
"""Monitor: MAJOR""","{",256,0,0
"""red-21""","{",225,0,0
"""Mon: MAJOR/unack""","{",193,0,0
"""red-23""","{",161,0,0
"""red-24""","{",129,0,0
"""Controller""","{",0,0,256
"""blue-26""","{",0,0,225
"""blue-27""","{",0,0,193
"""blue-28""","{",0,0,161
"""blue-29""","{",0,0,129
"""Controller/alt""","{",0,256,256
"""cyan-31""","{",0,225,225
"""cyan-32""","{",0,193,193
"""cyan-33""","{",0,161,161
"""cyan-34""","{",0,129,129
"""Monitor: MINOR""","{",256,256,0
"""yellow-36""","{",225,225,0
"""Mon: MINOR/unack""","{",193,193,0
"""yellow-38""","{",161,161,0
"""yellow-39""","{",129,129,0
"""Shell/reldsp-alt""","{",256,177,96
"""orange-41""","{",225,155,84
"""orange-42""","{",193,133,72
"""brown-43""","{",161,110,60
"""Related display""","{",129,88,48
"""Exit/Quit/Kill""","{",256,0,256
"""purple-46""","{",193,0,193
"""purple-47""","{",129,0,129
"""48""","{",0,0,0
"""49""","{",0,0,0
"""LINAC canvas""","{",206,220,205
"""LINAC title""","{",185,198,184
"""LINAC help""","{",166,178,165
"""VAC title""","{",225,248,177
"""VAC help""","{",202,223,159
"""FE canvas""","{",245,219,169
"""FE title""","{",184,165,126
"""FE help""","{",122,109,84
"""COOL title""","{",181,249,215
"""COOL help""","{",162,224,193
"""RING canvas""","{",194,218,217
"""RING title""","{",174,196,195
"""RING help""","{",156,176,175
"""CRYO title""","{",176,218,249
"""CRYO help""","{",158,196,224
"""TARGET canvas""","{",205,202,221
"""TARGET title""","{",184,181,198
"""TARGET help""","{",165,162,178
"""RF title""","{",222,196,251
"""RF help""","{",199,176,225
"""CF canvas""","{",221,202,221
"""CF title""","{",198,181,198
"""CF help""","{",178,162,178
"""UNSS title""","{",251,235,236
"""UNSS help""","{",225,176,212
"""UNMS canvas""","{",256,151,169
"""UNMS title""","{",193,113,126
"""UNMS help""","{",129,75,84
"""78""","{",0,0,0
"""79""","{",0,0,0
"""invisible""","{",0,0,0
